SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y
-0.272,0,-0.272,0,-0.172,0,-0.172,-0.172,-0.345,-0.345,-0.172,-0.345,0,-0.172,-0.272,-0.272,-0.272,-0.272,0,-0.272
0,0,0,0,0,0,-0.352,-0.431,0,-0.352,-0.352,-0.352,-0.232,0,0,-0.352,0,-0.352,-0.232,-0.232
-0.25,-0.25,-0.156,-0.25,-0.156,-0.32,0,-0.25,-0.156,-0.32,0,-0.156,0,-0.156,-0.32,-0.32,-0.25,-0.32,-0.25,0
-0.272,0,-0.516,-0.476,-0.401,0,0,0,0,-0.401,0,0,-0.272,0,-0.272,0,0,0,0,0
-0.476,0,-0.272,0,0,0,-0.272,-0.401,0,-0.476,0,0,-0.272,-0.272,0,-0.272,0,0,0,-0.272
-0.332,-0.431,-0.332,-0.164,-0.164,-0.388,-0.164,0,-0.164,0,0,-0.164,-0.164,-0.164,-0.26,-0.388,0,0,-0.164,-0.164
-0.266,0,-0.368,-0.221,-0.168,-0.221,-0.221,-0.101,0,-0.266,-0.221,-0.168,-0.168,-0.368,-0.339,-0.221,-0.101,-0.101,-0.221,-0.221
-0.285,0,-0.415,0,-0.415,-0.488,0,0,0,-0.285,-0.285,0,-0.285,0,-0.285,0,0,-0.285,0,0
-0.39,0,0,-0.426,0,-0.228,0,0,0,-0.294,0,-0.228,-0.454,-0.294,-0.141,-0.228,0,-0.39,-0.141,0
-0.299,-0.431,0,-0.299,-0.299,-0.299,0,0,-0.299,0,0,0,0,0,0,0,-0.431,-0.299,-0.299,-0.299
-0.411,0,0,0,-0.332,-0.216,0,0,0,-0.216,-0.216,0,-0.53,-0.216,0,0,0,-0.332,0,-0.332
-0.445,0,-0.22,-0.22,0,-0.337,0,0,0,-0.445,0,-0.22,-0.38,-0.22,-0.22,-0.22,-0.136,-0.22,0,-0.136
-0.32,0,-0.156,-0.156,-0.156,-0.32,-0.25,-0.156,-0.156,-0.32,-0.156,-0.156,-0.32,0,-0.375,-0.32,-0.156,-0.156,-0.25,0
-0.168,0,-0.339,0,-0.266,-0.168,-0.168,0,-0.168,-0.168,-0.168,-0.266,0,-0.394,-0.266,-0.339,-0.339,-0.168,-0.168,-0.266
-0.183,-0.363,-0.288,-0.111,-0.24,-0.288,-0.24,-0.183,-0.111,-0.328,-0.111,-0.183,-0.288,-0.24,-0.183,-0.183,0,-0.24,0,-0.24
-0.496,0,-0.245,-0.531,0,-0.369,0,0,0,-0.245,0,-0.153,0,-0.153,-0.245,0,0,-0.153,0,0
-0.245,0,-0.369,-0.153,-0.245,-0.245,-0.245,0,0,-0.412,0,-0.153,-0.245,-0.153,-0.153,-0.447,-0.153,-0.153,-0.153,-0.153
-0.285,0,0,0,-0.415,-0.488,-0.285,0,-0.285,-0.285,0,0,-0.415,0,-0.285,0,0,0,-0.285,0
-0.272,0,0,0,-0.272,-0.272,-0.272,0,0,0,-0.401,0,-0.272,-0.401,-0.272,-0.272,-0.272,-0.272,0,-0.272
-0.164,0,-0.26,-0.431,-0.164,0,0,0,-0.26,-0.332,0,-0.26,-0.26,-0.332,-0.26,-0.431,-0.164,-0.164,0,0
0,-0.388,0,0,-0.388,-0.509,-0.388,0,-0.26,0,0,0,0,0,-0.26,-0.464,0,0,0,0
-0.375,-0.431,0,0,-0.191,-0.191,-0.191,0,-0.299,-0.375,0,-0.191,0,-0.191,-0.299,-0.299,-0.191,-0.191,0,-0.191
-0.191,0,0,-0.299,-0.191,0,0,-0.299,-0.375,0,-0.191,-0.191,-0.299,0,-0.431,-0.191,-0.299,-0.299,0,-0.299
0,0,0,0,-0.447,0,0,0,-0.314,0,0,0,-0.447,0,-0.314,-0.314,-0.511,-0.314,0,0
-0.447,0,-0.314,0,-0.314,-0.314,-0.314,0,0,0,0,0,0,0,-0.314,-0.447,0,0,-0.447,0
-0.482,-0.352,0,0,-0.232,-0.232,0,0,-0.232,0,0,-0.232,-0.232,0,-0.352,-0.232,0,-0.352,-0.232,-0.232
-0.299,0,-0.431,0,-0.299,-0.431,0,0,0,-0.299,0,-0.299,-0.299,-0.299,0,0,0,0,-0.431,0
-0.447,0,0,0,-0.447,-0.314,0,0,0,0,0,-0.447,0,-0.314,-0.314,0,0,-0.314,0,-0.314
-0.285,0,-0.337,-0.22,-0.22,0,-0.136,-0.22,-0.136,-0.337,-0.285,-0.22,-0.136,-0.136,-0.38,-0.38,-0.136,-0.136,0,-0.136
-0.299,0,0,0,-0.299,0,0,0,-0.299,-0.299,0,-0.431,-0.299,-0.299,-0.299,0,-0.431,0,0,-0.299
-0.314,0,-0.447,0,-0.447,0,0,-0.314,0,0,0,0,-0.314,0,-0.314,-0.511,0,0,0,0
-0.24,0,-0.442,-0.363,0,-0.24,-0.363,0,0,-0.363,0,0,-0.363,0,0,-0.24,-0.24,-0.363,0,0
-0.182,-0.287,-0.256,-0.256,-0.256,-0.256,0,-0.314,-0.222,-0.256,-0.137,-0.314,-0.081,-0.081,-0.339,-0.137,-0.137,-0.256,-0.137,-0.137
0,0,0,-0.26,0,-0.26,0,0,-0.26,-0.464,-0.26,-0.388,-0.509,-0.388,0,0,0,0,0,0
-0.363,0,0,0,-0.24,-0.491,0,-0.24,-0.363,-0.491,0,-0.24,0,0,0,-0.24,0,-0.24,0,0
-0.272,0,-0.272,0,-0.272,-0.272,0,-0.272,0,-0.401,0,-0.401,-0.272,-0.401,-0.272,0,-0.272,0,0,0
-0.285,0,0,0,-0.285,-0.285,0,0,-0.285,-0.415,0,-0.285,-0.285,0,-0.488,-0.415,0,0,0,0
-0.511,0,-0.314,0,-0.314,-0.447,0,-0.314,0,-0.314,0,0,-0.314,0,-0.314,0,0,0,0,0
0,0,0,0,0,-0.299,-0.431,-0.299,-0.299,0,0,0,-0.526,-0.299,0,0,0,0,-0.299,0
-0.285,-0.415,0,0,-0.285,-0.285,0,0,-0.285,0,0,-0.488,-0.285,0,-0.415,0,-0.285,0,0,0
-0.415,0,-0.285,0,0,-0.285,-0.415,-0.285,0,-0.285,0,0,-0.285,0,-0.285,-0.415,0,-0.285,0,0
-0.24,0,0,-0.491,0,-0.24,0,-0.24,-0.363,-0.24,0,0,-0.363,-0.363,0,-0.363,-0.24,0,0,0
-0.314,0,-0.314,0,-0.447,-0.511,0,-0.314,-0.314,0,0,0,0,0,-0.314,0,0,-0.314,0,0
0,-0.224,-0.342,0,-0.138,-0.473,-0.224,-0.224,-0.42,-0.138,0,-0.342,-0.342,0,-0.138,-0.224,0,-0.138,0,0
0,0,-0.314,-0.314,-0.314,-0.314,-0.314,0,0,-0.314,-0.314,0,-0.447,-0.314,0,0,0,-0.314,0,0
0,-0.456,0,-0.323,0,-0.209,-0.209,-0.209,0,-0.323,0,-0.401,0,-0.323,0,-0.209,-0.209,-0.209,0,-0.323
0,0,0,-0.363,-0.24,-0.519,0,0,0,-0.24,-0.24,-0.24,-0.24,0,-0.24,-0.363,-0.24,0,-0.24,0
-0.238,-0.238,-0.238,-0.238,-0.238,-0.148,0,-0.089,-0.197,-0.238,-0.089,-0.238,-0.335,-0.238,-0.197,-0.306,-0.238,-0.306,-0.089,-0.197
-0.278,0,-0.176,-0.176,-0.278,-0.408,-0.176,0,0,-0.278,-0.352,-0.176,-0.352,-0.176,0,-0.451,0,0,0,-0.176
-0.197,0,-0.306,-0.197,-0.197,0,-0.197,0,-0.306,-0.383,-0.197,-0.197,-0.306,-0.197,-0.197,-0.197,-0.383,-0.306,0,0
0,0,0,0,-0.431,-0.431,0,0,0,0,-0.299,0,-0.431,0,-0.299,0,0,-0.431,-0.299,-0.299
-0.408,0,0,0,-0.176,-0.482,-0.176,-0.176,-0.352,-0.482,0,0,-0.176,-0.278,0,-0.176,-0.176,0,0,0
-0.209,0,-0.323,-0.323,-0.209,-0.209,0,0,0,-0.209,0,-0.323,-0.401,-0.209,0,-0.323,-0.323,-0.401,0,0
-0.25,-0.25,-0.156,0,-0.156,-0.32,-0.156,0,-0.156,-0.375,-0.156,-0.25,-0.25,-0.156,-0.25,-0.375,-0.32,-0.156,0,-0.156
-0.352,0,-0.2,-0.352,0,-0.2,-0.122,-0.26,-0.352,-0.31,-0.26,-0.122,-0.122,-0.2,-0.2,-0.26,-0.2,-0.2,0,-0.2
-0.294,0,-0.141,-0.426,0,-0.141,0,0,0,-0.294,-0.141,-0.141,-0.454,-0.294,-0.228,-0.294,-0.141,-0.347,-0.141,0
0,0,0,0,-0.299,-0.299,-0.299,-0.299,-0.299,-0.299,0,0,-0.431,0,-0.299,-0.299,0,-0.299,0,-0.299
-0.164,0,0,-0.509,-0.164,-0.26,0,0,-0.164,-0.26,-0.332,0,-0.332,-0.431,-0.26,-0.164,0,-0.164,0,0
-0.363,0,0,0,-0.24,-0.24,-0.24,0,0,-0.24,-0.24,-0.363,0,-0.24,-0.363,-0.24,-0.363,0,-0.24,-0.24
0,-0.388,0,0,-0.464,0,0,-0.26,0,0,0,-0.26,-0.26,-0.388,-0.388,-0.26,0,-0.26,0,-0.26
-0.285,0,-0.136,-0.38,-0.285,-0.285,-0.136,0,-0.337,-0.136,-0.136,-0.136,-0.337,0,-0.285,-0.285,0,-0.285,-0.136,-0.22
-0.26,0,-0.26,-0.26,-0.26,-0.388,0,0,0,-0.26,-0.26,-0.388,-0.26,0,-0.388,-0.26,0,0,-0.26,0
-0.352,0,-0.451,-0.408,0,0,-0.176,-0.278,-0.176,-0.352,-0.176,-0.278,-0.176,0,-0.176,-0.278,-0.176,0,0,0
-0.314,-0.447,0,0,-0.447,-0.447,0,0,0,0,0,-0.314,-0.314,0,-0.314,0,-0.314,0,0,0
-0.232,0,-0.232,-0.482,0,-0.352,0,-0.232,0,-0.352,-0.232,0,0,-0.232,0,-0.232,-0.232,-0.352,0,-0.232
-0.26,0,-0.464,0,-0.464,-0.26,0,0,-0.26,-0.26,0,0,0,0,0,-0.388,-0.388,-0.26,0,0
-0.156,-0.25,-0.156,-0.156,-0.25,-0.32,-0.156,0,-0.156,-0.32,-0.156,-0.32,-0.25,0,-0.156,-0.375,-0.25,-0.156,-0.156,-0.25
-0.181,0,-0.488,-0.415,-0.285,-0.181,0,0,-0.181,-0.359,0,-0.181,0,0,0,-0.181,-0.359,-0.359,0,0
-0.37,-0.213,-0.276,-0.131,-0.131,-0.435,0,-0.131,-0.276,-0.406,0,-0.131,-0.328,0,-0.276,-0.213,-0.213,0,0,0
-0.408,0,0,0,-0.278,-0.505,0,0,-0.352,-0.482,0,-0.176,-0.176,-0.278,0,-0.176,0,0,0,0
-0.326,-0.255,-0.16,-0.326,0,-0.381,-0.16,-0.16,0,-0.326,-0.255,0,0,-0.255,-0.326,-0.255,-0.16,-0.16,-0.16,-0.16
-0.388,-0.26,-0.26,-0.164,0,-0.332,0,0,0,-0.431,-0.164,0,-0.388,-0.164,-0.26,-0.26,-0.26,-0.164,0,0
-0.488,0,0,-0.523,0,0,0,0,-0.285,0,0,0,-0.523,0,0,0,0,-0.285,0,0
-0.375,0,-0.375,0,-0.375,-0.5,0,0,0,-0.25,-0.25,0,-0.25,0,0,-0.25,-0.25,0,0,-0.25
-0.24,0,-0.363,-0.363,0,-0.24,-0.24,-0.24,0,-0.363,0,0,-0.363,0,-0.24,-0.24,-0.24,-0.24,0,-0.24
-0.266,0,-0.394,0,-0.168,-0.495,-0.168,0,0,-0.168,0,0,-0.168,0,-0.266,-0.513,0,-0.168,-0.168,0
-0.142,-0.142,-0.085,-0.296,-0.296,-0.23,-0.189,-0.142,-0.324,-0.324,0,-0.23,-0.265,-0.23,-0.296,-0.296,-0.23,-0.142,-0.085,-0.085
-0.401,0,-0.209,-0.401,0,0,0,0,-0.209,-0.456,0,-0.209,-0.209,0,-0.209,0,-0.456,-0.323,0,0
-0.285,0,0,0,-0.415,-0.415,-0.285,0,0,0,-0.285,-0.285,0,-0.415,-0.285,-0.285,0,0,-0.285,0
-0.304,-0.236,-0.147,-0.358,-0.147,-0.358,0,-0.304,-0.147,-0.304,-0.236,0,0,0,-0.401,-0.236,0,-0.236,-0.147,-0.147
-0.191,0,0,0,-0.191,-0.471,0,0,-0.375,-0.528,0,-0.191,-0.191,0,0,-0.191,-0.191,-0.299,0,0
0,0,-0.299,0,0,-0.299,-0.299,-0.299,0,-0.5,0,-0.299,0,0,-0.299,-0.431,0,0,0,-0.299
-0.278,-0.352,-0.278,-0.352,-0.107,-0.232,-0.107,-0.176,-0.232,-0.382,0,-0.176,-0.232,-0.107,-0.176,-0.318,-0.232,-0.107,0,0
-0.411,0,-0.216,-0.216,0,-0.216,-0.216,0,-0.332,-0.332,-0.216,0,-0.216,-0.332,0,-0.216,-0.332,-0.332,0,0
0,0,-0.431,-0.232,-0.232,-0.352,0,0,0,-0.352,-0.232,-0.431,0,0,-0.232,-0.352,0,-0.232,0,-0.232
-0.26,0,0,0,-0.26,-0.528,0,0,0,-0.388,0,-0.388,-0.26,0,-0.26,-0.26,0,0,-0.26,0
-0.26,0,0,-0.388,-0.26,-0.388,-0.26,0,0,0,0,0,-0.464,-0.26,-0.26,-0.388,0,0,-0.26,0
-0.197,0,0,-0.197,-0.383,-0.306,0,0,-0.306,-0.197,0,-0.197,-0.306,-0.306,-0.306,-0.383,0,-0.197,0,-0.306
0,0,-0.431,0,-0.299,-0.299,0,0,-0.299,-0.299,-0.299,0,-0.299,-0.299,0,-0.299,0,-0.431,0,0
-0.379,0,-0.118,-0.253,0,-0.303,0,-0.253,-0.253,-0.475,0,-0.303,0,-0.118,-0.344,-0.344,0,-0.194,0,0
-0.314,0,-0.314,-0.314,-0.314,-0.314,0,-0.314,-0.314,-0.314,-0.314,0,-0.314,0,0,-0.314,0,0,0,0
-0.197,-0.238,-0.306,-0.197,-0.197,-0.148,0,0,-0.197,-0.238,-0.148,-0.197,-0.306,-0.238,-0.197,-0.306,-0.306,-0.306,-0.089,-0.238
-0.299,0,-0.299,0,-0.299,-0.431,0,0,0,-0.299,0,0,-0.5,-0.431,0,0,0,-0.299,0,0
0,0,-0.197,-0.306,-0.197,-0.439,0,-0.197,-0.306,-0.383,-0.306,0,-0.197,0,-0.306,-0.197,-0.197,-0.197,0,-0.197
-0.352,0,-0.232,-0.299,0,-0.144,-0.144,-0.232,-0.232,-0.299,0,-0.232,-0.396,-0.144,-0.299,-0.144,-0.144,0,0,-0.396
-0.26,0,-0.464,-0.26,-0.26,0,-0.26,0,0,-0.464,0,-0.388,-0.26,0,-0.26,-0.26,0,0,0,0
-0.133,0,-0.28,-0.531,-0.216,-0.133,0,-0.216,-0.28,0,0,-0.133,-0.332,0,-0.332,-0.28,0,0,0,-0.133
-0.25,0,0,0,0,-0.375,-0.25,-0.375,0,-0.25,-0.25,-0.25,0,0,-0.5,-0.25,-0.25,-0.25,0,0
0,0,-0.415,0,-0.285,0,0,0,0,-0.285,0,-0.285,-0.285,-0.415,0,-0.285,-0.285,-0.415,0,-0.285
-0.383,0,-0.439,-0.197,-0.306,-0.383,0,0,-0.197,-0.383,-0.197,0,0,0,-0.383,-0.197,-0.197,0,0,0
-0.5,0,0,0,0,-0.299,0,0,0,-0.431,0,-0.299,-0.299,0,-0.299,-0.431,-0.299,0,0,0
-0.224,0,0,0,-0.224,-0.507,0,0,0,-0.342,-0.224,-0.42,-0.224,-0.224,-0.342,0,0,-0.224,-0.224,0
-0.133,0,-0.133,0,-0.28,-0.53,-0.133,-0.133,-0.133,-0.28,0,0,-0.133,0,-0.375,-0.375,-0.133,-0.133,0,-0.216
-0.272,0,-0.242,-0.272,-0.076,-0.272,-0.172,-0.076,-0.345,-0.345,-0.172,-0.209,-0.076,-0.272,-0.209,-0.299,-0.076,-0.366,-0.076,-0.076
-0.172,-0.272,-0.172,-0.272,-0.172,-0.345,-0.172,-0.272,-0.272,0,-0.172,0,-0.401,-0.172,-0.272,-0.172,0,-0.272,-0.172,-0.172
-0.24,0,-0.442,0,-0.24,0,0,0,0,-0.442,0,-0.363,-0.363,-0.24,-0.363,0,0,-0.24,0,-0.24
-0.285,0,-0.285,0,-0.285,-0.488,0,-0.415,0,-0.285,0,-0.285,0,-0.285,0,-0.415,0,0,0,0
-0.162,-0.259,-0.285,-0.23,-0.198,-0.198,0,-0.072,-0.285,-0.401,-0.198,-0.162,-0.162,-0.121,-0.33,-0.259,-0.285,-0.23,0,-0.121
-0.352,0,-0.232,-0.299,0,-0.144,-0.144,-0.299,-0.232,-0.299,0,-0.232,-0.352,-0.144,-0.299,-0.144,-0.144,0,0,-0.396
-0.25,0,0,-0.25,-0.25,0,0,-0.25,-0.25,0,-0.375,-0.375,-0.25,-0.375,-0.25,-0.375,0,-0.25,0,0
-0.447,0,0,-0.314,-0.447,-0.314,0,-0.314,0,0,0,0,-0.447,0,-0.314,-0.314,0,0,0,0
-0.272,-0.304,-0.195,-0.358,-0.236,-0.236,0,-0.088,-0.147,-0.304,0,-0.195,-0.147,-0.195,-0.332,-0.358,-0.147,-0.236,0,-0.147
-0.415,0,-0.457,-0.359,-0.181,-0.181,0,0,0,-0.359,0,0,-0.181,-0.181,-0.285,-0.359,-0.285,0,0,0
-0.431,0,-0.232,0,0,-0.482,0,0,0,-0.232,0,0,-0.352,-0.232,-0.352,-0.232,0,-0.232,-0.352,0
